system:index,OBJECTID_1,year,AFG,PFG,SHR,TRE,GIS_ACRES,FIRE_YEAR,INCIDENT,SOURCE,Shape_Area,Shape_Leng,Shape__Are,Shape__Len,.geo
0_00000000000000000000,35,2021,31.76165239,18.10292878,7.726145618,7.619934784,18272,2024,Larch Creek,2024 NIFS,1.55E+08,134522.6671,1.49E+08,134522.6671,
0_00000000000000000001,36,2021,3.280547528,17.89918487,9.423448533,33.71974115,151683,2024,Falls,2024 NIFS,1.19E+09,346089.1892,1.18E+09,346089.1892,
0_00000000000000000002,41,2021,18.79887925,25.62146658,7.180276552,12.83542956,137221,2024,LONE ROCK,2024 NIFS,1.12E+09,440457.772,1.11E+09,440457.772,
0_00000000000000000003,60,2021,13.57009893,24.94667859,8.276385753,17.43815096,178541,2024,Monkey Creek,2024 NIFS,1.46E+09,515145.3409,1.44E+09,515145.3409,
0_00000000000000000004,67,2021,11.55345675,25.6597046,8.4362001,17.97589106,20021.2,2024,Courtrock,2024 NIFS,1.72E+08,166994.2848,1.60E+08,166994.2848,
0_00000000000000000005,73,2021,4.599327799,18.02932816,9.795391261,32.21938231,54004.9,2024,Telephone,2024 NIFS,4.19E+08,214747.5398,4.19E+08,214747.5398,
0_00000000000000000006,84,2021,7.352253932,19.21011123,5.576267974,27.12947476,86962.8,2024,0501 PR CRAZY CREEK,2024 NIFS,7.40E+08,325124.6012,6.88E+08,325124.6012,
0_00000000000000000007,153,2021,7.454303036,21.65798909,8.219550293,23.90021539,26817.8,2024,SHOE FLY,2024 NIFS,2.20E+08,218737.6546,2.14E+08,218737.6546,
0_00000000000000000008,156,2021,14.23590907,22.65293566,10.03681919,18.23054399,176661,2024,Rail Ridge,2024 NIFS,1.43E+09,739685.7684,1.39E+09,739685.7684,
0_00000000000000000009,157,2021,4.982919479,17.00120261,7.569009185,32.21734275,30186.3,2024,WILEY FLAT,2024 NIFS,2.40E+08,157147.7879,2.37E+08,157147.7879,
0_0000000000000000000a,168,2021,6.049446615,13.87130364,6.219032459,29.35097268,23871.7,2024,Service,2024 NIFS,2.05E+08,204482.988,1.93E+08,204482.988,
0_0000000000000000000b,278,2021,16.24145973,30.08877987,10.38585582,12.40546224,18393.4,2024,Town Gulch,FFP,1.48E+08,87368.08497,1.48E+08,87368.08497,
0_0000000000000000000c,315,2021,8.567745959,27.76936406,27.09153255,3.291310206,65865.9,2024,Warner Peak,FFP,5.12E+08,274381.4999,4.90E+08,274381.4999,
