OBJECTID,Shape,FIRE_ID,INCIDENT,FIRE_YEAR,GIS_ACRES,SOURCE,SHAPE_Are,SHAPE_Len,x,y
1,Point ZM,35,Larch Creek,2024,18272,2024 NIFS,149431323.2,134522.6671,-121.219631,45.296573
2,Point ZM,36,Falls,2024,151683,2024 NIFS,1182587788,346089.1892,-119.228167,43.899619
3,Point ZM,41,LONE ROCK,2024,137221,2024 NIFS,1112189140,440457.772,-119.849315,45.039611
4,Point ZM,60,Monkey Creek,2024,178541,2024 NIFS,1443259386,515145.3409,-119.31024,44.962863
5,Point ZM,67,Courtrock,2024,20021.2,2024 NIFS,160079259.5,166994.2848,-119.326922,44.64311
6,Point ZM,73,Telephone,2024,54004.9,2024 NIFS,418966103,214747.5398,-118.768045,43.750444
7,Point ZM,84,0501 PR CRAZY CREEK,2024,86962.8,2024 NIFS,687680556.6,325124.6012,-119.91897,44.32391
8,Point ZM,153,SHOE FLY,2024,26817.8,2024 NIFS,214230150.2,218737.6546,-119.999051,44.618963
9,Point ZM,156,Rail Ridge,2024,176661,2024 NIFS,1394351469,739685.7684,-119.555633,44.26617
10,Point ZM,157,WILEY FLAT,2024,30186.3,2024 NIFS,236576479.7,157147.7879,-120.280758,44.055005
11,Point ZM,168,Service,2024,23871.7,2024 NIFS,192660289.7,204482.988,-120.028002,44.917018
12,Point ZM,278,Town Gulch,2024,18393.4,FFP,148163204.6,87368.08497,-117.208896,44.86183
13,Point ZM,315,Warner Peak,2024,65865.9,FFP,489702406.1,274381.4999,-119.725316,42.436167
14,Point ZM,323,JUMP,2024,25741.5,FFP,197605117.5,105612.1565,-117.000004,43.430735
15,Point ZM,329,Cow Valley,2024,133489,FFP,1051130554,355705.7417,-117.616732,44.195626
16,Point ZM,331,Thompson,2024,31557.3,FFP,252036530.5,138146.7498,-117.356974,44.612838
17,Point ZM,353,Coyote,2024,22179.5,FFP,177730043.2,86232.65156,-117.120297,44.709896
18,Point ZM,362,HOLE IN THE GROUND,2024,98977.4,FFP,750822735.8,190876.7165,-117.513713,43.066086
19,Point ZM,415,FLAT TOP,2024,36471.6,FFP,281079388.7,132244.216,-121.064304,43.55047
20,Point ZM,424,Durkee,2024,294264,FFP,2331782869,376007.9906,-117.484734,44.382209
