Name,x,y,Elevation (m),Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
14,-123.0283,42.1762,598,2010-02,41.76,0.1,6.1,12.1,1.3,0.25,7.26
14,-123.0283,42.1762,598,2010-03,78.13,-0.2,6.9,14,0.4,0.47,10.17
14,-123.0283,42.1762,598,2010-04,102.12,0.8,7.6,14.4,0.8,0.48,11.11
14,-123.0283,42.1762,598,2010-05,45.02,3.6,10.7,17.8,2.5,0.97,14.21
14,-123.0283,42.1762,598,2010-06,37.2,7.7,15.7,23.6,7.2,1.13,20.31
14,-123.0283,42.1762,598,2010-07,0,11.2,21.4,31.7,8.4,3.54,37.49
14,-123.0283,42.1762,598,2010-08,7.24,10.2,20.2,30.3,7.4,3.09,35.7
14,-123.0283,42.1762,598,2010-09,28.36,7.6,16.7,25.7,7.3,1.39,24.33
14,-123.0283,42.1762,598,2010-10,63.43,4.4,12.3,20.1,4.2,1.16,17.03
14,-123.0283,42.1762,598,2010-11,65.24,0,5.4,10.7,1.7,0.34,6.16
14,-123.0283,42.1762,598,2010-12,158.79,0.4,4.4,8.4,1.2,0.31,4.51
14,-123.0283,42.1762,598,2011-01,43.62,-2,3.4,8.8,-1.1,0.33,5.19
14,-123.0283,42.1762,598,2011-02,51.73,-2.7,3.6,10,-2.4,0.46,7.36
14,-123.0283,42.1762,598,2011-03,146.4,0.9,6.1,11.3,1.4,0.29,6.66
14,-123.0283,42.1762,598,2011-04,67.06,0.7,7.1,13.6,1,0.41,9.4
14,-123.0283,42.1762,598,2011-05,50.76,2.9,10.4,17.9,2.6,0.61,14.51
14,-123.0283,42.1762,598,2011-06,34.34,7.2,15.9,24.6,6.6,1.11,23.1
14,-123.0283,42.1762,598,2011-07,16.13,10.9,19.5,28.2,9.2,2.14,27.91
14,-123.0283,42.1762,598,2011-08,0,11.2,21.1,31,9.5,2.67,34.5
14,-123.0283,42.1762,598,2011-09,2.73,9.2,19.6,29.9,6,3.68,34.72
14,-123.0283,42.1762,598,2011-10,25.71,4,11.8,19.7,4.6,0.69,14.59
14,-123.0283,42.1762,598,2011-11,66.7,0.4,5.7,11,0.4,0.44,6.81
14,-123.0283,42.1762,598,2011-12,32.69,-4.3,1.7,7.7,-4.1,0.57,5.53
14,-123.0283,42.1762,598,2012-01,112.57,-2.1,3.4,8.8,-1.6,0.38,5.55
14,-123.0283,42.1762,598,2012-02,64.06,-1.4,4.9,11.2,-1.1,0.41,7.68
14,-123.0283,42.1762,598,2012-03,156.55,-0.7,5.4,11.5,-0.3,0.37,7.9
14,-123.0283,42.1762,598,2012-04,48.64,3.5,9.9,16.4,3.1,0.8,12.44
14,-123.0283,42.1762,598,2012-05,28.47,5.1,13.5,22,3.6,1.5,20.55
14,-123.0283,42.1762,598,2012-06,38.78,7.5,15.6,23.7,6.3,1.51,22.04
14,-123.0283,42.1762,598,2012-07,15.22,11.9,20.9,29.9,9.7,2.97,32.09
14,-123.0283,42.1762,598,2012-08,0,12.5,22.8,33,7.3,4.82,41.78
14,-123.0283,42.1762,598,2012-09,0,9.5,20.1,30.8,4,4.64,37.44
14,-123.0283,42.1762,598,2012-10,36.92,5.8,13.8,21.8,3.6,1.97,19.9
14,-123.0283,42.1762,598,2012-11,141.48,4,8.1,12.2,3.4,0.78,6.42
14,-123.0283,42.1762,598,2012-12,185.54,-0.5,3,6.6,0.1,0.19,3.3
14,-123.0283,42.1762,598,2013-01,33.75,-1.4,3.4,8.2,-3.5,0.98,6
14,-123.0283,42.1762,598,2013-02,18.06,-0.4,5.5,11.3,-1.6,0.69,8
14,-123.0283,42.1762,598,2013-03,20.65,0.3,7.8,15.3,1.1,0.47,10.73
14,-123.0283,42.1762,598,2013-04,45.36,2.9,10.4,17.9,2.2,1.01,14.08
14,-123.0283,42.1762,598,2013-05,21.04,7.1,14.9,22.6,4.3,1.86,20.44
14,-123.0283,42.1762,598,2013-06,8.97,10.1,18.8,27.5,7,2.74,28.78
14,-123.0283,42.1762,598,2013-07,0,14.1,24.2,34.2,8,5.87,44.6
14,-123.0283,42.1762,598,2013-08,23.97,13.2,22.2,31.2,9.4,3.51,35.31
14,-123.0283,42.1762,598,2013-09,55.58,9.4,17.5,25.5,7.5,2.17,25.92
14,-123.0283,42.1762,598,2013-10,5.66,1.6,10.4,19.2,1.4,1.11,15.98
14,-123.0283,42.1762,598,2013-11,29.17,0.4,6.5,12.6,0.3,0.98,7.85
14,-123.0283,42.1762,598,2013-12,13.05,-5.4,0,5.5,-4.6,0.46,4.42
14,-123.0283,42.1762,598,2014-01,20.81,-1.5,4.5,10.5,-2.5,0.73,7.14
14,-123.0283,42.1762,598,2014-02,123.2,1,6.6,12.3,1.6,0.43,7.36
14,-123.0283,42.1762,598,2014-03,126.02,1.8,8.9,16,1.6,0.65,11.82
14,-123.0283,42.1762,598,2014-04,22.6,3,10.8,18.6,2.2,0.84,15.54
14,-123.0283,42.1762,598,2014-05,19.76,6.5,15.1,23.8,4.3,1.74,23.17
14,-123.0283,42.1762,598,2014-06,9.43,8.5,17.5,26.6,5.6,2.24,26.96
14,-123.0283,42.1762,598,2014-07,9.07,15.3,25.3,35.3,9.4,5.63,47.6
14,-123.0283,42.1762,598,2014-08,14.7,14.4,23.8,33.2,8.9,5,41.37
14,-123.0283,42.1762,598,2014-09,47.53,9.6,19.4,29.1,5.3,3.24,33.35
14,-123.0283,42.1762,598,2014-10,77.32,6.1,13.9,21.7,5.4,1.14,18.54
14,-123.0283,42.1762,598,2014-11,51.79,4.2,8.8,13.3,3.2,0.7,6.89
14,-123.0283,42.1762,598,2014-12,94.54,2.5,6.5,10.6,3.1,0.22,4.57
14,-123.0283,42.1762,598,2015-01,36.13,0,5.6,11.2,0.5,0.47,6.04
14,-123.0283,42.1762,598,2015-02,135.83,1.2,8.6,15.9,0.3,0.64,10.93
14,-123.0283,42.1762,598,2015-03,51.06,2.2,10.2,18.2,2.7,0.58,14.01
